Ada	I was only too happy to be in such request. "For me then," returned my guardian, "or for [MASK], or for both of us. It is somebody's birthday to-morrow, I think." "
Caesar	I feel myself as far above suspicion as [MASK]'s wife." Anything to equal the lightness of his manner and the playful impartiality with which he seemed to convince himself, as he tossed the matter about like a ball of feathers, was surely never seen in anybody else!
Johnny	On accounts of this and his dark looks has often dreamed as she see him take a pick-axe from his pocket and split [MASK]'s head (which the child knows not fear and has repeatually called after him close at his eels).
Anne	There is so little real friendship in the world! and unfortunately" (speaking low and tremulously) "there are so many who forget to think seriously till it is almost too late." [MASK] saw the misery of such feelings.
Anne	In the course of the same morning, [MASK] and her father chancing to be alone together, he began to compliment her on her improved looks; he thought her "less thin in her person, in her cheeks; her skin, her complexion, greatly improved; clearer, fresher.
Edward	"I was six weeks with [MASK]," said he, "and saw him happy. I could have no other pleasure. I deserved none. He enquired after you very particularly; asked even if you were personally altered, little suspecting that to my eye you could never alter."
Anne	but she was perfectly unsuspicious of being inflicting any peculiar wound. "Altered beyond his knowledge." [MASK] fully submitted, in silent, deep mortification. Doubtless it was so, and she could take no revenge, for he was not altered, or not for the worse.
Tess	she said in a dreamy tone. "And I loved him so! I didn't mind his having YOU. But this about Izz is too bad!" [MASK], in her start at the words, narrowly missed cutting off a finger with the bill-hook.
Tess	"It might have been a carriage for her own kin!" Having at last taken her course [MASK] was less restless and abstracted, going about her business with some self-assurance in the thought of acquiring another horse for her father by an occupation which would not be onerous.
Tess	No sooner did the dark queen hear the soberer richer note of [MASK] among those of the other work-people than a long-smouldering sense of rivalry inflamed her to madness. She sprang to her feet and closely faced the object of her dislike.
Tess	He hoped she would remove that prohibition soon. He proposed that the couple should take [MASK]'s own name, d'Urberville, as uncorrupted. It was better than her husbands's. He asked if any letter had come from her that day.
Alec	I thought I worshipped on the mountains, but I find I still serve in the groves! Ha! ha!" "O [MASK] d'Urberville! what does this mean? What have I done!" "Done?" he said, with a soulless sneer in the word.
Tess	[MASK], surprised beyond measure, slid farther back still on her seat, at which he urged the horse anew, and rocked her the more. "Will nothing else do?" she cried at length, in desperation, her large eyes staring at him like those of a wild animal.
Tess	[MASK] at length consented to go. Her first experience of the journey afforded her more enjoyment than she had expected, the hilariousness of the others being quite contagious after her monotonous attention to the poultry-farm all the week. She went again and again.
Tess	But to [MASK] and her mother's household no such anxious farmer sent his team. They were only women; they were not regular labourers; they were not particularly required anywhere; hence they had to hire a waggon at their own expense, and got nothing sent gratuitously.
Tess	When the day grew quite strong and commonplace these dried off her; moreover, [MASK] then lost her strange and ethereal beauty; her teeth, lips, and eyes scintillated in the sunbeams and she was again the dazzlingly fair dairymaid only, who had to hold her own against the other women of the world.
Bartleby	Upon this he noiselessly slid into view. "Will you tell me, [MASK], where you were born?" "I would prefer not to." "Will you tell me _any thing_ about yourself?" "I would prefer not to."
Bartleby	At last I see it, I feel it; I penetrate to the predestinated purpose of my life. I am content. Others may have loftier parts to enact; but my mission in this world, [MASK], is to furnish you with office-room for such period as you may see fit to remain.
Bartleby	It was on the third day, I think, of his being with me, and before any necessity had arisen for having his own writing examined, that, being much hurried to complete a small affair I had in hand, I abruptly called to [MASK].
Bartleby	Gradually I slid into the persuasion that these troubles of mine touching the scrivener, had been all predestinated from eternity, and [MASK] was billeted upon me for some mysterious purpose of an all-wise Providence, which it was not for a mere mortal like me to fathom.
Bartleby	A few days after this, my other clerks being absent, and being in a great hurry to dispatch certain letters by the mail, I thought that, having nothing else earthly to do, [MASK] would surely be less inflexible than usual, and carry these letters to the post-office.
Bartleby	But one afternoon the evil impulse in me mastered me, and the following little scene ensued: "[MASK]," said I, "when those papers are all copied, I will compare them with you." "I would prefer not to." "How?
Bartleby	Meanwhile [MASK] sat in his hermitage, oblivious to every thing but his own peculiar business there. Some days passed, the scrivener being employed upon another lengthy work. His late remarkable conduct led me to regard his ways narrowly.
Bartleby	Now and then, in the eagerness of dispatching pressing business, I would inadvertently summon [MASK], in a short, rapid tone, to put his finger, say, on the incipient tie of a bit of red tape with which I was about compressing some papers.
